linkID,link
9,0
135,0
434,0
262,1
383,0
212,0
357,0
233,0
189,0
441,0
333,0
134,0
491,0
321,0
132,0
2,1
228,0
260,0
85,0
204,0
426,1
377,0
277,0
101,0
12,0
38,0
395,0
18,0
147,0
133,1
392,0
304,0
479,0
486,0
241,0
177,0
53,0
466,0
419,0
452,1
280,0
124,0
140,0
423,0
443,0
478,0
295,0
22,0
176,0
360,0
162,0
46,0
14,0
119,0
144,0
325,0
408,0
152,0
365,0
146,0
116,0
42,0
29,0
410,0
165,0
172,1
442,0
138,0
154,0
307,0
74,0
68,0
273,0
285,0
359,0
37,0
41,0
103,0
156,0
229,0
438,0
7,0
77,0
211,0
453,0
79,0
283,1
91,0
186,1
117,0
125,0
16,0
279,0
373,0
13,0
267,0
447,0
196,0
15,0
431,1
465,0
255,0
323,0
11,0
81,0
231,0
332,0
3,0
45,0
429,0
409,0
203,0
185,0
20,0
371,0
396,0
153,1
483,0
206,0
316,0
448,0
398,0
92,0
463,0
390,0
86,1
352,0
310,0
122,0
248,0
271,0
87,1
219,0
314,0
417,0
163,0
150,0
420,0
23,0
151,1
265,1
293,1
350,0
269,0
252,1
291,0
412,0
149,0
474,1
96,0
312,0
105,0
180,0
308,0
26,0
136,0
311,0
64,1
128,0
329,0
88,0
35,0
388,0
430,0
195,0
379,0
181,0
223,0
490,1
155,0
422,0
303,1
462,0
391,0
82,0
58,0
468,0
183,0
492,0
389,0
374,0
306,0
148,0
208,1
461,0
427,0
89,0
247,0
224,0
84,0
95,0
319,0
59,1
236,0
102,1
432,0
120,0
480,0
201,0
344,0
482,0
28,0
351,0
34,0
455,0
126,0
226,0
51,0
338,0
454,0
75,0
234,0
399,0
289,0
418,0
230,0
191,0
335,0
94,0
475,0
284,0
459,0
161,0
451,0
263,0
298,1
232,0
494,0
320,0
40,0
421,0
499,0
317,0
405,0
69,0
370,0
218,0
382,0
425,0
449,0
477,0
437,0
386,0
129,0
270,0
198,0
313,1
73,0
30,0
376,0
4,0
309,0
114,0
481,0
47,0
297,0
300,0
238,1
52,0
433,0
341,0
361,0
168,0
355,0
60,0
353,0
220,0
17,0
488,1
90,0
57,1
98,0
62,0
239,0
39,0
166,0
275,0
118,0
384,0
249,0
182,0
178,0
97,1
143,0
170,0
242,0
473,0
190,0
50,0
413,0
331,0
278,0
227,0
131,0
393,0
258,0
436,0
489,0
158,0
127,0
290,0
173,0
24,0
305,0
25,0
343,0
334,0
6,0
378,0
487,0
259,0
460,0
327,0
243,0
336,0
387,0
363,0
253,0
121,0
1,0
467,0
202,0
145,1
397,1
251,0
188,0
70,0
324,0
315,0
250,0
194,0
66,0
67,0
496,0
266,0
264,0
282,0
0,0
472,0
216,0
139,1
476,0
493,0
354,0
444,0
362,0
65,0
174,0
215,0
411,0
356,0
222,1
193,0
141,0
123,1
458,0
221,0
292,0
33,0
440,1
406,0
27,0
268,0
369,0
164,1
10,0
19,0
294,0
159,0
450,0
403,0
179,0
281,1
339,0
400,0
167,0
209,0
244,0
157,0
137,0
254,0
404,0
175,1
366,0
367,1
484,0
439,0
61,0
318,0
83,0
36,0
415,0
93,0
347,0
192,0
256,0
108,0
349,0
112,1
240,0
76,1
54,0
301,0
106,0
328,0
245,0
142,0
495,0
31,0
497,0
184,1
445,0
485,0
200,1
380,0
214,1
296,0
498,0
210,0
235,0
302,0
63,1
274,0
424,0
385,0
107,0
113,0
407,0
276,1
381,0
435,0
109,0
416,1
287,0
130,0
330,1
326,0
364,0
322,0
21,1
100,0
375,0
457,0
414,0
213,0
43,0
32,0
456,0
197,0
115,0
207,0
80,0
446,0
286,0
48,0
237,0
358,0
257,0
340,1
199,0
217,0
464,0
469,0
205,0
5,0
78,1
394,1
72,0
470,0
401,0
169,0
428,0
345,0
342,0
372,0
56,0
55,0
104,0
110,0
49,0
471,0
171,0
337,0
346,0
402,0
246,0
111,0
160,0
71,0
99,0
44,0
272,0
8,0
299,0
261,0
225,0
288,0
348,0
187,0
368,0
